tx_hash,time,value_btc,n_inputs,n_outputs,fee_btc,from,to,is_error
0xa8078f218ca6f3bc00f966b68fd769039ca6655dab71056e26e45f9e2967c47f,2025-12-06 02:45:59,0.00633132033900821,1,1,5.36408791576e-07,0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,0x388c818ca8b9251b393131c08a736a67ccb19297,0
0x977c8d330bf98ad7ab72b1426b2c45509cdf14949a88587fbcaa79c2b3cf73ff,2025-12-06 02:45:35,0.005002784087111895,1,1,5.99241576054e-07,0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,0x388c818ca8b9251b393131c08a736a67ccb19297,0
0x40dbd1a3557a79164731ab5d431867905c398c486aa3534695015dad03a5c270,2025-12-06 02:44:59,0.005714314007736846,1,1,6.44287078138e-07,0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,0x388c818ca8b9251b393131c08a736a67ccb19297,0
0x1257c279d9ab8ea61545451ea1d0020d4c1ee51cf2c2c00243f750345f6ff12a,2025-12-06 02:40:23,0.006639715557648033,1,1,4.56979379943e-07,0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,0x388c818ca8b9251b393131c08a736a67ccb19297,0
0x6bdd2b022fd7ec3088b3758ab2340fe741aa20273818fe68b33040d607022a45,2025-12-06 02:39:59,0.003072968048556042,1,1,5.19616946402e-07,0xdadb0d80178819f2319190d340ce9a924f783711,0x388c818ca8b9251b393131c08a736a67ccb19297,0
0xf429733312a859bde4662480c03d7b982411eea44853f536d01e0044d4802177,2025-12-06 02:39:47,0.00271689907919017,1,1,5.21200558333e-07,0x396343362be2a4da1ce0c1c210945346fb82aa49,0x388c818ca8b9251b393131c08a736a67ccb19297,0
0x4ac39b8c493854dca55825c667d193f9f823a2be25c1f3a1cd6f4dbab445a768,2025-12-06 02:39:11,0.008233192656964584,1,1,5.16440524364e-07,0xdadb0d80178819f2319190d340ce9a924f783711,0x388c818ca8b9251b393131c08a736a67ccb19297,0
0xdabc5d49e8b8d823b951545433b8f5fc9a2106e86f342edd06bedae4642adfe3,2025-12-06 02:38:59,0.003824193958911631,1,1,5.56924460815e-07,0x396343362be2a4da1ce0c1c210945346fb82aa49,0x388c818ca8b9251b393131c08a736a67ccb19297,0
0xfffdde8bf5882658971e0b39954e7e64d6f9808ebf4e3b9a483b39bb5bd9ec0e,2025-12-06 02:38:35,0.004917081712062257,1,1,5.28854479982e-07,0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,0x388c818ca8b9251b393131c08a736a67ccb19297,0
0x2f2fbe416f7215e65f0f34774f37e8464f735a5250c68b3263b46172ba6406fd,2025-12-06 02:38:11,0.004488901610852126,1,1,5.42418583487e-07,0xdadb0d80178819f2319190d340ce9a924f783711,0x388c818ca8b9251b393131c08a736a67ccb19297,0
