tx_hash,time,value_btc,n_inputs,n_outputs,fee_btc,from,to,is_error
0xb8b43753429485397d1fc4d8c2906518fa40aef5b53baa696b3fe327c4852dc4,2025-07-18 15:55:23,0.01094564784202343,1,1,5.7907573101e-05,0x11f236fee4745d99af6c422992e346d79c391b2f,0x503828976d22510aad0201ac7ec88293211d23da,0
0x827eb2cc4befc4dafe0a7c4d41b6f27137ca4af0e87ea00ea03206a3638166f0,2025-06-22 02:00:35,0.0,1,1,1.555046703e-05,0x6a56931f38e24e800f1645f175604140bde74279,0x503828976d22510aad0201ac7ec88293211d23da,0
0x8a114658725632a062b5aaf3f95ad67cca1406fadbcc54e5055acd365b673f49,2025-06-22 01:40:11,0.0,1,1,1.5535484034e-05,0xe8df97ae69b412d7e2d63b71670c1f2ee7cf55df,0x503828976d22510aad0201ac7ec88293211d23da,0
0x3f646af401ef4ec0f34d35d41deb5dd7cb059c681f4f9a4fe153e07d56ce2e60,2025-06-19 09:24:35,4.1578e-07,1,1,4.5377711232e-05,0x78644807c7416adc34d531b65c2d42bf159a4bc0,0x503828976d22510aad0201ac7ec88293211d23da,0
0xc933f695be170332783a60c37fb798bda716e5d5e7c241155260056bf994208a,2025-06-18 18:33:59,0.007009304888736,1,1,1.2727148952e-05,0x932b2a53197dc46a2ada5ba692a1c5a068d7d83c,0x503828976d22510aad0201ac7ec88293211d23da,0
0xfb00b7da5798d06397bac8b2d8b5f8dd95939d7d7016cf2ff092d466e71c182f,2025-06-18 10:46:11,1.5e-17,1,1,5.0729887782e-05,0x09c46b942676f4def3dce9304bc435e183122d14,0x503828976d22510aad0201ac7ec88293211d23da,0
0x07f3af1aa788f217db7accad9064b872de3b01c87c8604ebb5163aa640fb2c7b,2025-06-18 07:46:47,8e-18,1,1,1.7587075317e-05,0xd2e825b4722da642b430d0eab8896745cde65332,0x503828976d22510aad0201ac7ec88293211d23da,0
0xef194d0dc848fc813494401ee250dd1dbc6f1f57304b853163d4dffb8c920103,2025-06-18 06:23:47,0.0,1,1,2.258756493e-05,0xccc6a1fb75147b597d00c9ff8afd3f324e50932b,0x503828976d22510aad0201ac7ec88293211d23da,0
0xa75915220374e8935d7fef66091e873dcce3ad31735ffacc2abae28f156cf344,2025-06-18 06:09:23,1.9e-17,1,1,3.1868835684e-05,0xba2463207067faa96f900068d80c12a8e7b0d476,0x503828976d22510aad0201ac7ec88293211d23da,0
0x26b4b33a0fbd9c540c50d5dd950ce3b6a910dd23ae831e1db1740bf0a8f083cc,2025-06-18 04:55:59,2.7e-17,1,1,1.2366482499e-05,0x535a9c04bf56c6aba14ecc140e6e4c2193b6d118,0x503828976d22510aad0201ac7ec88293211d23da,0
0x25cd953fab32422cb056a36034a3238a87096cd7e03d4466c3f83e6e939b0c73,2025-06-18 04:53:59,1.8e-17,1,1,1.2127298442e-05,0xa61ecc241874e16080ee12cb347ebc4f8f12af44,0x503828976d22510aad0201ac7ec88293211d23da,0
0xb9b29da25b1e402d59729b2d09fe726587b1faff3fc6d862adfe992961edfcb8,2025-06-18 02:03:47,4.8e-17,1,1,6.854281014e-06,0x474b4b5e70f3183b90e4f99916a5df2e30cf92fd,0x503828976d22510aad0201ac7ec88293211d23da,0
0x3b525a13112e34e009adb9f716acb6ef707d758687b50f3050fe624aefcb5535,2025-06-18 00:56:47,1.9e-17,1,1,6.550313364e-06,0x39dd2961c5bc926e6184ec3f790c40d52bb30bc4,0x503828976d22510aad0201ac7ec88293211d23da,0
0x2a0a857b44fdda4a7041381607ce36826f3c74303efe5a24d16ff7d7f835a686,2025-06-17 22:30:11,7e-18,1,1,1.109324433e-05,0x0f7f39eed6e106bc2dded41c2ee3356a63246ba0,0x503828976d22510aad0201ac7ec88293211d23da,0
0x0e41ae8087575612cb9d04a31d3035bae7999b82308016b1232e3131377342af,2025-06-17 21:56:23,2.1e-17,1,1,1.3262188296e-05,0xffeaebf3786d6694222564b2d0a3795f6fd32c08,0x503828976d22510aad0201ac7ec88293211d23da,0
0x74785f31e00ab3c37eed59aa00c521e48dca54f6bea10765baf0465f4b557940,2025-06-17 20:51:23,6e-18,1,1,1.5832538064e-05,0xa16acf28d2304f4495be101c34542469b2124e84,0x503828976d22510aad0201ac7ec88293211d23da,0
0xf7d83ab843a803700e5f5bc728e17c6ba0db66a6631dcd5e3721e233023b0e82,2025-06-17 20:29:11,8e-18,1,1,1.5551195856e-05,0x026be314d2194ff5665cb9cf73ea075bbcf9e2da,0x503828976d22510aad0201ac7ec88293211d23da,0
0x5450452b668c9a62e2a549ae164dc3f10bd1e2a40226c0afdb921f3bbd28da73,2025-06-17 04:28:59,5e-17,1,1,3.8648996967e-05,0x5f55c929dcee137767ff638ba4fc8040f9ee1903,0x503828976d22510aad0201ac7ec88293211d23da,0
0x57b7405a3baeb36770ffd86c5b5128a817df16f2882c5f5a2042b76ae0888073,2025-06-06 13:02:47,0.029688713478578,1,1,6.2370293853e-05,0x3b4d0a24b585f024074f12037354acc190ca63cf,0x503828976d22510aad0201ac7ec88293211d23da,0
0xe337215d667f90409dda43d730ddf4af992a5da6b8cfc25559abffe11c35c0aa,2025-06-04 22:09:35,0.004890470927611,1,1,1.6197040062e-05,0x726fd264c3c61c53697eb6c92643c614115a459e,0x503828976d22510aad0201ac7ec88293211d23da,0
0xf6c859b2c182f703f22dee8c7459bedfc42db94ca844dc9be59be88fc7a897c5,2025-05-30 19:11:11,0.664904223878974,1,1,4.0577422074e-05,0x5e6075eba4d9fee8081902dacbd22cc9a5483e32,0x503828976d22510aad0201ac7ec88293211d23da,0
0x09154c0e777453310764b3d834d543ae1271847467a9cb972534358d5ffebfc7,2025-05-21 14:03:59,0.005227212340881602,1,1,0.000293032058046,0x3aa612785b119c62eda21d28410a50884d6d28d7,0x503828976d22510aad0201ac7ec88293211d23da,0
0x87802348fe64a72a6559349151dabfeee3a54de0f38eefa9a0c4a00df51d58c8,2025-05-09 11:09:23,0.042236918946059576,1,1,0.000154507091865,0x0833cf1ccb3f2cf0d44b957579d9b16c8591c7bc,0x503828976d22510aad0201ac7ec88293211d23da,0
0x45ea238972987e0486f7ce3158ea114221c9ac62bee80c6294f740aca5a4d188,2025-05-01 07:11:35,0.45042291,1,1,1.8689861421e-05,0x3c0314c8d7ba1cc8cbe2f4c58de8d80a09b509e8,0x503828976d22510aad0201ac7ec88293211d23da,0
0x01414549ffab908ea8b213744feab483ad8e73bddec6c1de74d05c6db04169e8,2025-04-24 15:29:23,0.002583896542954,1,1,3.7483457046e-05,0x38a2ecb1366ed146d29a8f913e84416022dd7d9e,0x503828976d22510aad0201ac7ec88293211d23da,0
